title,condition,transmission,make,model,year,location,price
Land Rover Range Rover Sport HSE 4x4 (3.0L 6cyl 8A) 2016 Black,local used,automatic,Land,Rover,,Gwarinpa,"₦ 24,500,000"
Toyota Camry 2.4 LE 2008 Silver,local used,automatic,Toyota,Camry,,Abule Egba,"₦ 7,200,000"
Honda Civic Touring 2022 Blue,foreign used,automatic,Honda,Civic,,Ojodu,"₦ 40,000,000"
Lexus RX 350 AWD 2013 Gray,foreign used,automatic,Lexus,RX,,Apapa,"₦ 27,800,000"
Toyota Camry 2005 Gold,local used,automatic,Toyota,Camry,2005,Sagamu,"₦ 3,900,000"
Lexus RX 350 2010 Black,local used,automatic,Lexus,RX,,Lekki,"₦ 16,500,000"
Lexus ES 300 2003 Gold,local used,automatic,Lexus,ES,,Ifako-Ijaiye,"₦ 3,350,000"
Mercedes-Benz C300 Luxury 4Matic Sedan AWD (3.0L 6cyl 7A) 2011 Black,foreign used,automatic,,,,Ajah,"₦ 12,999,999"
Mercedes-Benz GLE-Class GLE 350 2018 White,local used,automatic,,,,Central Business District,"₦ 37,500,000"
Toyota Yaris 1.5 Liftback 2008 White,local used,automatic,Toyota,Yaris,,Uyo,"₦ 6,328,125"
Toyota Camry 2013 Silver,foreign used,automatic,Toyota,Camry,2013,Ikeja,"₦ 15,500,000"
Lexus RX 2006 Silver,local used,automatic,Lexus,RX,2006,Gwarinpa,"₦ 8,200,000"
Lexus RX 350 2009 Silver,foreign used,automatic,Lexus,RX,,Ajah,"₦ 17,500,000"
Toyota Camry 2013 Black,local used,automatic,Toyota,Camry,2013,Ajah,"₦ 10,200,000"
Honda Accord 2015 Black,foreign used,automatic,Honda,Accord,2015,Ajah,"₦ 17,500,000"
Toyota Sienna 2012 Gray,foreign used,automatic,Toyota,Sienna,2012,Epe,"₦ 16,500,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2012 White,foreign used,automatic,Toyota,Camry,,Amuwo-Odofin,"₦ 14,100,000"
Toyota Highlander V6 AWD 2002 Black,local used,automatic,Toyota,Highlander,,Ajah,"₦ 4,850,000"
Mercedes-Benz M Class ML 350 4Matic 2013 Black,local used,automatic,,,,Ijebu Ode,"₦ 22,700,000"
Toyota Venza 2016 Gray,foreign used,automatic,Toyota,Venza,2016,Ikeja,"₦ 25,000,000"
Mercedes-Benz C300 Luxury 4Matic Sedan AWD (3.0L 6cyl 7A) 2010 Silver,local used,automatic,,,,Lekki,"₦ 7,500,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 4A) 2004 Red,local used,automatic,Toyota,Camry,,Ibadan,"₦ 6,000,000"
Mercedes-Benz GLK-Class 2013 Gray,foreign used,automatic,,,,Amuwo-Odofin,"₦ 23,500,000"
Toyota Highlander 2013 White,foreign used,automatic,Toyota,Highlander,2013,Lekki,"₦ 22,900,000"
Acura ZDX Base AWD 2013 Black,local used,automatic,Acura,ZDX,,Apapa,"₦ 8,500,000"
Toyota Highlander 2015 Burgundy,foreign used,automatic,Toyota,Highlander,2015,Ojo,"₦ 24,000,000"
Honda Accord Sedan EX 2004 Silver,local used,automatic,Honda,Accord,,Karu,"₦ 2,936,250"
Toyota Corolla L 4dr Sedan (1.8L 4cyl 5M) 2012 Black,local used,automatic,Toyota,Corolla,,Lekki,"₦ 5,600,000"
Toyota Camry 2010 Silver,local used,automatic,Toyota,Camry,2010,Kubwa,"₦ 6,800,000"
Toyota Camry XSE 4dr Sedan (3.5L 6cyl 6A) 2015 Black,local used,automatic,Toyota,Camry,,Lekki,"₦ 15,000,000"
Toyota RAV4 2.5 Limited 2010 Brown,foreign used,automatic,Toyota,RAV4,,Ikorodu,"₦ 15,000,000"
Toyota RAV4 3.5 Sport 2008 Silver,local used,automatic,Toyota,RAV4,,Kubwa,"₦ 6,800,000"
Hyundai Elantra 2019 Blue,foreign used,automatic,Hyundai,Elantra,2019,Jahi,"₦ 23,500,000"
Mercedes-Benz E350 Base 4Matic Sedan AWD (3.5L 6cyl 7A) 2013 White,local used,automatic,,,,Gwarinpa,"₦ 12,800,000"
Lexus RX 330 2004 Burgundy,local used,automatic,Lexus,RX,,Ikeja,"₦ 10,800,000"
Toyota RAV4 2014 White,foreign used,automatic,Toyota,RAV4,2014,Ikeja,"₦ 19,500,000"
Hyundai Sonata 2014 White,foreign used,automatic,Hyundai,Sonata,2014,Ikeja,"₦ 14,500,000"
Ford Explorer 2013 Silver,local used,automatic,Ford,Explorer,2013,Ajah,"₦ 7,800,000"
Toyota Corolla LE 4dr Sedan (1.8L 4 cyl 4A) 2009 Gray,local used,automatic,Toyota,Corolla,,Port-Harcourt,"₦ 8,200,000"
Toyota Venza V6 AWD 2012 Red,local used,automatic,Toyota,Venza,,Yaba,"₦ 12,950,000"
Toyota Highlander Hybrid Limited 2008 Silver,local used,automatic,Toyota,Highlander,,Magodo,"₦ 22,000,000"
Toyota Land Cruiser Prado 2013 Black,local used,automatic,Toyota,Land,,Lekki,"₦ 27,500,000"
Mercedes-Benz CLA-Class CLA 250 4MATIC Sedan 2015 Black,foreign used,automatic,,,,Gwarinpa,"₦ 19,500,000"
Toyota Camry 2014 Red,foreign used,automatic,Toyota,Camry,2014,Ajah,"₦ 17,500,000"
Toyota Corolla 2015 Black,foreign used,automatic,Toyota,Corolla,2015,Ajah,"₦ 16,500,000"
Toyota Camry 2013 Black,local used,automatic,Toyota,Camry,2013,Ikeja,"₦ 11,800,000"
Toyota Corolla 2005 Red,local used,automatic,Toyota,Corolla,2005,Gwarinpa,"₦ 5,100,000"
Toyota Venza 2012 Gold,local used,automatic,Toyota,Venza,2012,Alimosho,"₦ 13,700,000"
Ford Taurus 2013 Silver,foreign used,automatic,Ford,Taurus,2013,Victoria Island,"₦ 13,000,000"
Toyota Venza 2011 Black,foreign used,automatic,Toyota,Venza,2011,Gwarinpa,"₦ 17,500,000"
Toyota Camry 2013 Gray,foreign used,automatic,Toyota,Camry,2013,Benin City,"₦ 17,000,000"
Toyota Highlander 2018 Black,foreign used,automatic,Toyota,Highlander,2018,Alimosho,"₦ 36,000,000"
Toyota Highlander Hybrid XLE (3.5L 6cyl) 2017 Gray,foreign used,automatic,Toyota,Highlander,,Ikeja,"₦ 31,500,000"
Mercedes-Benz GLK-Class 350 4MATIC 2010 White,foreign used,automatic,,,,Surulere,"₦ 18,000,000"
Toyota Sienna XLE 7 Passenger 2011 Brown,foreign used,automatic,Toyota,Sienna,,Amuwo-Odofin,"₦ 14,500,000"
Mercedes-Benz GLK-Class 2010 White,local used,automatic,,,,Gwagwalada,"₦ 14,000,000"
Jeep Grand Cherokee 2006 Silver,local used,automatic,Jeep,Grand,,Ibadan,"₦ 8,859,375"
Hyundai Elantra 2008 Blue,local used,automatic,Hyundai,Elantra,2008,Ogba,"₦ 5,184,000"
Honda Accord 2.0 Comfort Automatic 2006 Gold,local used,automatic,Honda,Accord,,Ikorodu,"₦ 4,104,000"
Honda Ridgeline 2006 Black,local used,automatic,Honda,Ridgeline,2006,Abule Egba,"₦ 6,776,000"
Toyota Camry 2000 Silver,local used,automatic,Toyota,Camry,2000,Kubwa,"₦ 2,700,000"
Ford Sport Trac 2008 White,local used,automatic,Ford,Sport,,Magodo,"₦ 13,200,000"
Lexus ES 350 FWD 2014 Blue,foreign used,automatic,Lexus,ES,,Ikeja,"₦ 22,500,000"
Toyota Matrix XR Hatchback FWD (1.8L 4cyl 4A) 2008 Blue,local used,automatic,Toyota,Matrix,,Ogba,"₦ 7,750,000"
Toyota Corolla LE 2005 Red,local used,automatic,Toyota,Corolla,,Ewekoro,"₦ 5,000,000"
Honda Accord Automatic 2005 Gold,local used,automatic,Honda,Accord,,Warri,"₦ 2,150,000"
Lexus RX 300 4WD 2000 Black,local used,automatic,Lexus,RX,,Ibadan,"₦ 4,400,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2012 Green,local used,automatic,Toyota,Camry,,Ibadan,"₦ 10,800,000"
Toyota Corolla 2005 Gray,local used,automatic,Toyota,Corolla,2005,Lugbe District,"₦ 6,000,000"
Mercedes-Benz M Class ML 350 BlueTEC 4Matic 2013 White,local used,automatic,,,,Amuwo-Odofin,"₦ 19,000,000"
Toyota Avalon XLE 4dr Sedan (3.5L 6cyl 6A) 2014 Gray,foreign used,automatic,Toyota,Avalon,,Lekki,"₦ 20,500,000"
Mercedes-Benz C230 2005 Silver,local used,automatic,,,,Ilupeju,"₦ 6,960,937"
Peugeot 406 2001 Blue,local used,manual,Peugeot,406,2001,Lugbe District,"₦ 3,080,000"
Hyundai Sonata 2008 White,local used,automatic,Hyundai,Sonata,2008,Gwarinpa,"₦ 4,950,000"
Ford Freestar 2005 Gray,local used,automatic,Ford,Freestar,2005,Port-Harcourt,"₦ 3,850,000"
BMW X3 2004 Black,local used,automatic,BMW,X3,2004,Lekki,"₦ 3,850,000"
Ford Explorer 2008 Black,local used,automatic,Ford,Explorer,2008,Isolo,"₦ 5,500,000"
Hyundai Elantra 2008 Silver,local used,automatic,Hyundai,Elantra,2008,Surulere,"₦ 5,400,000"
Ford Escape 2008 White,local used,automatic,Ford,Escape,2008,Abeokuta North,"₦ 4,015,000"
Honda CR-V 2008 Gray,local used,automatic,Honda,CR-V,2008,Kosofe,"₦ 5,500,000"
BMW X5 2005 Green,local used,automatic,BMW,X5,2005,Mushin,"₦ 5,500,000"
Lexus RX 2005 Silver,local used,automatic,Lexus,RX,2005,Ikeja,"₦ 8,400,000"
Ford Edge 2015 Gray,foreign used,automatic,Ford,Edge,2015,Mabushi,"₦ 24,000,000"
Lexus ES 2006 Silver,local used,automatic,Lexus,ES,2006,Ikeja,"₦ 6,000,000"
Peugeot 406 1999 Blue,foreign used,manual,Peugeot,406,1999,Karu,"₦ 4,400,000"
Honda Accord Crosstour 2010 White,foreign used,automatic,Honda,Accord,,Isolo,"₦ 14,040,000"
Honda CR-V 2008 Blue,local used,automatic,Honda,CR-V,2008,Yaba,"₦ 5,390,000"
Lexus RX 350 2010,foreign used,automatic,Lexus,RX,,Jahi,"₦ 24,000,000"
Peugeot 307 2005 Green,local used,manual,Peugeot,307,2005,Ilorin South,"₦ 2,700,000"
Ford Focus 2013 White,local used,automatic,Ford,Focus,2013,Ilorin South,"₦ 5,200,000"
Toyota Sienna 2006 Blue,local used,automatic,Toyota,Sienna,2006,Ilorin South,"₦ 3,950,000"
Lexus RX 2002 Silver,local used,automatic,Lexus,RX,2002,Ilorin South,"₦ 4,500,000"
Toyota Land Cruiser Prado 2008 Black,local used,automatic,Toyota,Land,,Ilorin South,"₦ 13,500,000"
Honda Accord Crosstour EX 2010 Silver,local used,automatic,Honda,Accord,,Isolo,"₦ 6,800,000"
Hyundai Sonata Limited 4dr Sedan (2.4L 4cyl 6A) 2015 Black,foreign used,automatic,Hyundai,Sonata,,Abule Egba,"₦ 16,000,000"
Hyundai Sonata Limited 2.0T Sedan (2.0L 4cyl 6A) 2012 Black,foreign used,automatic,Hyundai,Sonata,,Apapa,"₦ 13,400,000"
Hyundai Sonata GLS Sedan FWD (2.4L 4cyl 6A) 2013 Blue,local used,automatic,Hyundai,Sonata,,Ejigbo,"₦ 6,400,000"
Lexus RX 350 2020 Gold,foreign used,automatic,Lexus,RX,,Abule Egba,"₦ 48,000,000"
Toyota Corolla 1.6 VVT-i 2006 Silver,local used,automatic,Toyota,Corolla,,Isolo,"₦ 6,500,000"
Mercedes-Benz CLA-Class 2015 Black,foreign used,automatic,,,,Katampe,"₦ 22,000,000"
Honda Pilot 2007 Black,local used,automatic,Honda,Pilot,2007,Kachia,"₦ 4,682,812"
Volkswagen Passat 2008 Green,local used,automatic,Volkswagen,Passat,2008,Isolo,"₦ 3,740,000"
Honda Accord 2008 Gray,local used,automatic,Honda,Accord,2008,Ogudu,"₦ 4,576,000"
Honda Accord 2008 Silver,local used,automatic,Honda,Accord,2008,Ikeja,"₦ 5,280,000"
Hyundai Sonata 2006 Gray,local used,automatic,Hyundai,Sonata,2006,Ogudu,"₦ 4,400,000"
GMC Terrain 2011 Silver,local used,automatic,GMC,Terrain,2011,Lekki,"₦ 12,100,000"
Honda Ridgeline 2007 White,local used,automatic,Honda,Ridgeline,2007,Alimosho,"₦ 7,150,000"
Honda Civic 1999 Red,local used,automatic,Honda,Civic,1999,Lugbe District,"₦ 1,760,000"
Volkswagen Jetta 2006 Gray,local used,automatic,Volkswagen,Jetta,2006,Isolo,"₦ 3,520,000"
Honda Accord Sport 4dr Sedan (2.4L 4cyl 6M) 2014 Silver,local used,automatic,Honda,Accord,,Yaba,"₦ 9,700,000"
Toyota Highlander 2009 Green,local used,automatic,Toyota,Highlander,2009,Ilorin South,"₦ 13,200,000"
Honda Accord 2006 Blue,local used,automatic,Honda,Accord,2006,Jabi,"₦ 3,700,000"
Toyota Camry XLE V6 4dr Sedan (3.0L 6cyl 4A) 2002 Black,local used,automatic,Toyota,Camry,,Ilorin South,"₦ 4,000,000"
Toyota Tacoma PreRunner Access Cab 2006 Silver,local used,automatic,Toyota,Tacoma,,Agege,"₦ 12,500,000"
Toyota Venza 2010 Red,local used,automatic,Toyota,Venza,2010,Ajah,"₦ 13,000,000"
Toyota Venza V6 2010 Silver,foreign used,automatic,Toyota,Venza,,Agege,"₦ 17,500,000"
Toyota Highlander SE 2011 Gray,foreign used,automatic,Toyota,Highlander,,Ikeja,"₦ 19,000,000"
Toyota Camry 2016 Black,local used,automatic,Toyota,Camry,2016,Jabi,"₦ 13,000,000"
Lexus ES 350 2008 Silver,foreign used,automatic,Lexus,ES,,Isolo,"₦ 11,499,000"
Lexus RX 330 2004 Blue,local used,automatic,Lexus,RX,,Ikotun/Igando,"₦ 8,050,000"
Volkswagen Passat 2013 Blue,local used,automatic,Volkswagen,Passat,2013,Port-Harcourt,"₦ 5,830,000"
Peugeot 406 2001 Red,local used,automatic,Peugeot,406,2001,Karu,"₦ 1,980,000"
Honda CR-V 2.4 EX 4x4 Automatic 2008 Silver,local used,automatic,Honda,CR-V,,Ojodu,"₦ 12,960,000"
Ford Escape 2005 Black,local used,automatic,Ford,Escape,2005,Yaba,"₦ 2,420,000"
Chevrolet Malibu 1LT 2013 White,local used,automatic,Chevrolet,Malibu,,Ikorodu,"₦ 6,600,000"
Honda Accord 2004 Silver,local used,automatic,Honda,Accord,2004,Lugbe District,"₦ 3,780,000"
JMC Boarding 2016 White,foreign used,manual,JMC,Boarding,2016,Ilorin South,"₦ 16,500,000"
Nissan Rogue 2009 Silver,local used,automatic,Nissan,Rogue,2009,Ilorin South,"₦ 6,200,000"
Mitsubishi L200 Single Cab 2.5 TD 2013 White,local used,manual,Mitsubishi,L200,,Ilorin South,"₦ 5,400,000"
Toyota Camry 2008 Blue,local used,automatic,Toyota,Camry,2008,Ilorin South,"₦ 6,200,000"
Toyota Highlander Limited V6 2005 Gold,local used,automatic,Toyota,Highlander,,Isolo,"₦ 6,800,000"
Honda CR-V 2.0i Automatic 2007 Blue,local used,automatic,Honda,CR-V,,Central Business District,"₦ 5,500,000"
Toyota Corolla Sedan Automatic 2003 Blue,local used,automatic,Toyota,Corolla,,Surulere,"₦ 5,750,000"
Toyota Highlander 2004 Gold,foreign used,automatic,Toyota,Highlander,2004,Isolo,"₦ 11,800,000"
Volvo V70 2008 Gold,local used,automatic,Volvo,V70,2008,Aba North,"₦ 6,960,937"
Honda Accord Automatic 2004 Gray,local used,automatic,Honda,Accord,,Yaba,"₦ 2,706,000"
Jeep Liberty 2004 Blue,foreign used,automatic,Jeep,Liberty,2004,Alimosho,"₦ 7,700,000"
Toyota 4-Runner 2001 Green,local used,automatic,Toyota,4-Runner,2001,Wuse,"₦ 7,020,000"
Volkswagen Golf 2006 Blue,local used,automatic,Volkswagen,Golf,2006,Ogudu,"₦ 3,124,000"
Honda Civic Touring Sedan 2019 Blue,foreign used,,Honda,Civic,,Obio-Akpor,"₦ 23,500,000"
Toyota Camry 2020 Black,local used,automatic,Toyota,Camry,2020,Ilorin South,"₦ 18,500,000"
Kia Sorento 2015 Gray,local used,automatic,Kia,Sorento,2015,Ilorin South,"₦ 8,900,000"
Mercedes-Benz GLK-Class 2012 Black,local used,automatic,,,,Ilorin South,"₦ 12,500,000"
Lexus GX 470 Sport Utility 2005 Silver,local used,automatic,Lexus,GX,,Ilorin South,"₦ 6,776,000"
Toyota Camry Automatic 1999 Gray,local used,automatic,Toyota,Camry,,Ilorin South,"₦ 1,750,000"
Toyota Camry 2002 Silver,local used,automatic,Toyota,Camry,2002,Ilorin South,"₦ 4,000,000"
Mercedes-Benz C300 2014 Black,foreign used,automatic,,,,Gwarinpa,"₦ 17,000,000"
Toyota Venza AWD 2010 Black,foreign used,automatic,Toyota,Venza,,Ikeja,"₦ 18,700,000"
Hyundai Elantra 2014 Red,foreign used,automatic,Hyundai,Elantra,2014,Garki 2,"₦ 13,800,000"
Toyota Avalon Limited Sedan FWD (3.5L 6cyl 6A) 2008 White,local used,automatic,Toyota,Avalon,,Isolo,"₦ 6,500,000"
Toyota Highlander XLE 2021 Black,foreign used,automatic,Toyota,Highlander,,Central Business District,"₦ 56,000,000"
Mercedes-Benz M Class ML 350 4Matic 2012 Brown,foreign used,automatic,,,,Mabushi,"₦ 25,500,000"
Mercedes-Benz GLK-Class 350 4MATIC 2013 Black,foreign used,automatic,,,,Mabushi,"₦ 23,000,000"
Toyota Sienna 2008 Gray,local used,automatic,Toyota,Sienna,2008,Mpape,"₦ 6,000,000"
Toyota Avalon XLS 2005 Black,local used,automatic,Toyota,Avalon,,Port-Harcourt,"₦ 3,900,000"
Mercedes-Benz E350 Base 4Matic Sedan AWD (3.5L 6cyl 7A) 2010 Black,local used,automatic,,,,Ikeja,"₦ 9,900,000"
Toyota Land Cruiser Prado 4.0 Petrol TX-L 2010 Black,local used,automatic,Toyota,Land,,Isolo,"₦ 21,000,000"
Toyota Camry 2001 Gold,local used,automatic,Toyota,Camry,2001,Benin City,"₦ 4,104,000"
Honda Element EX FWD 2003 Green,local used,automatic,Honda,Element,,Uyo,"₦ 4,400,000"
Volkswagen Golf 1998 Silver,local used,manual,Volkswagen,Golf,1998,Kubwa,"₦ 4,290,000"
Honda Odyssey 2010 Silver,foreign used,automatic,Honda,Odyssey,2010,Akure,"₦ 15,660,000"
Kia Cerato 2007 Black,local used,automatic,Kia,Cerato,2007,Kubwa,"₦ 4,400,000"
Chrysler Crossfire 2005 Red,local used,automatic,Chrysler,Crossfire,2005,Oshimili South,"₦ 4,400,000"
Honda Accord 2004 Blue,local used,automatic,Honda,Accord,2004,Gudu,"₦ 3,456,000"
Honda Accord LX-P Automatic 2009 Gray,local used,automatic,Honda,Accord,,Lugbe District,"₦ 7,020,000"
Volkswagen Beetle 1968 Blue,local used,manual,Volkswagen,Beetle,1968,Ilorin South,"₦ 2,500,000"
Mercedes-Benz GLA 250 2017 Black,foreign used,automatic,,,,Abule Egba,"₦ 25,500,000"
Lexus ES 350 2008 Black,local used,automatic,Lexus,ES,,Benin City,"₦ 11,000,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2015 Black,foreign used,automatic,,,,Abule Egba,"₦ 28,000,000"
Peugeot 2008 2022 White,local used,automatic,Peugeot,2008,2022,Central Business District,"₦ 30,500,000"
Mercedes-Benz E200 2011 Black,local used,automatic,,,,Ojo,"₦ 9,700,000"
Toyota Corolla 1.4 2004 Silver,local used,automatic,Toyota,Corolla,,Ikeja,"₦ 6,500,000"
Mercedes-Benz GLK-Class 2014 White,foreign used,automatic,,,,Ikeja,"₦ 18,950,000"
Mercedes-Benz GLE-Class GLE 350 2017 Blue,foreign used,automatic,,,,Mabushi,"₦ 41,000,000"
Toyota Highlander LE 4dr SUV (3.5L 6cyl 6A) 2015 Gold,foreign used,automatic,Toyota,Highlander,,Mabushi,"₦ 30,000,000"
Hyundai Palisade Limited 2022 Burgundy,foreign used,automatic,Hyundai,Palisade,,Ogudu,"₦ 65,000,000"
Kia Sportage 2006 Red,local used,automatic,Kia,Sportage,2006,Lekki,"₦ 6,960,937"
Honda Accord 2008 Black,local used,automatic,Honda,Accord,2008,Wuse,"₦ 6,328,125"
Infiniti FX35 2006 Black,local used,automatic,Infiniti,FX35,2006,Surulere,"₦ 6,480,000"
Lexus RX 350 2010 Gray,local used,automatic,Lexus,RX,,Abule Egba,"₦ 16,950,000"
Honda Pilot 2007 White,foreign used,automatic,Honda,Pilot,2007,Alimosho,"₦ 8,415,000"
Ford Escape 2008 Gold,local used,automatic,Ford,Escape,2008,Ibadan,"₦ 3,300,000"
Toyota Sienna 1997 Gray,local used,automatic,Toyota,Sienna,1997,Port-Harcourt,"₦ 3,300,000"
Honda Accord 2007 Blue,local used,automatic,Honda,Accord,2007,Isolo,"₦ 3,190,000"
Lexus RX 400h 2006 Gold,local used,automatic,Lexus,RX,,Ilorin South,"₦ 7,500,000"
Toyota Camry 2.4 LE 2008 Green,local used,automatic,Toyota,Camry,,Gwarinpa,"₦ 6,000,000"
Ford F-150 2007 Red,foreign used,automatic,Ford,F-150,2007,Ikotun/Igando,"₦ 7,000,000"
Lexus RX 350 F Sport AWD 2014 Silver,foreign used,automatic,Lexus,RX,,Ikeja,"₦ 29,500,000"
Lexus ES 350 2010 Silver,local used,automatic,Lexus,ES,,Ikeja,"₦ 12,800,000"
Honda Accord Sport 4dr Sedan (2.4L 4cyl 6M) 2014 Brown,local used,automatic,Honda,Accord,,Ikeja,"₦ 9,500,000"
Honda CR-V 2007 Silver,local used,automatic,Honda,CR-V,2007,Lekki,"₦ 7,020,000"
Toyota Sienna 2001 Gray,foreign used,automatic,Toyota,Sienna,2001,Enugu,"₦ 7,480,000"
Honda Accord 2008 Black,local used,automatic,Honda,Accord,2008,Ogba,"₦ 5,940,000"
Honda Accord 2.4 EX Automatic 2008 Gray,local used,automatic,Honda,Accord,,Lugbe District,"₦ 4,950,000"
Volkswagen Golf 1995 Blue,local used,manual,Volkswagen,Golf,1995,Ibadan,"₦ 1,650,000"
Honda Accord 2003 Black,local used,automatic,Honda,Accord,2003,Jabi,"₦ 2,640,000"
Volvo XC90 2007 Gold,local used,automatic,Volvo,XC90,2007,Ikotun/Igando,"₦ 4,600,000"
Toyota Camry 2015 Gray,local used,automatic,Toyota,Camry,2015,Ilorin South,"₦ 9,800,000"
Mercedes-Benz E200 2007 Black,local used,automatic,,,,Ilorin South,"₦ 10,900,000"
Hyundai Santa Fe Limited 4dr SUV AWD (3.3L 6cyl 6A) 2015 Silver,foreign used,automatic,Hyundai,Santa,,Isolo,"₦ 16,999,999"
Toyota Highlander XLE 4dr SUV AWD (3.5L 6cyl 6A) 2015 Silver,foreign used,automatic,Toyota,Highlander,,Isolo,"₦ 30,500,000"
Lexus RX 350 2008 Black,foreign used,automatic,Lexus,RX,,Isolo,"₦ 12,999,000"
Toyota Corolla S 4dr Sedan (1.8L 4cyl CVT) 2016 White,local used,automatic,Toyota,Corolla,,Central Business District,"₦ 12,500,000"
Lexus RX 330 2004 Gray,foreign used,automatic,Lexus,RX,,Isolo,"₦ 11,999,000"
Ford Escape 2012 Gray,local used,automatic,Ford,Escape,2012,Ajah,"₦ 6,500,000"
Lexus RX 350 2011 Red,foreign used,automatic,Lexus,RX,,Jabi,"₦ 22,400,000"
Volvo XC90 2008 Black,local used,automatic,Volvo,XC90,2008,Abule Egba,"₦ 5,400,000"
Hyundai Santa Fe 2003 Red,local used,automatic,Hyundai,Santa,,Karu,"₦ 3,740,000"
Honda Accord 2006 Gold,local used,automatic,Honda,Accord,2006,Gwale,"₦ 3,996,000"
Honda Accord 2005 Silver,local used,automatic,Honda,Accord,2005,Lekki,"₦ 2,200,000"
Kia Sportage 2007 Black,local used,automatic,Kia,Sportage,2007,Gudu,"₦ 3,850,000"
Honda Accord 2009 Silver,foreign used,automatic,Honda,Accord,2009,Ojodu,"₦ 9,256,500"
Ford Escape 2008 Black,local used,automatic,Ford,Escape,2008,Alimosho,"₦ 5,280,000"
